id,event_size,cost_constraint,effort_constraint,time_constraint,alpha,perturbation_level_cost,perturbation_level_effort,perturbation_level_time
1,medium,270,6,9,0.3,pos,pos,pos
2,medium,270,6,9,0.3,pos,pos,no
3,medium,270,6,9,0.3,pos,pos,low_neg
4,medium,270,6,9,0.3,pos,pos,high_neg
5,medium,270,6,9,0.3,pos,pos,catastrofic
6,medium,270,6,9,0.3,pos,no,pos
7,medium,270,6,9,0.3,pos,no,no
8,medium,270,6,9,0.3,pos,no,low_neg
9,medium,270,6,9,0.3,pos,no,high_neg
10,medium,270,6,9,0.3,pos,no,catastrofic
11,medium,270,6,9,0.3,pos,low_neg,pos
12,medium,270,6,9,0.3,pos,low_neg,no
13,medium,270,6,9,0.3,pos,low_neg,low_neg
14,medium,270,6,9,0.3,pos,low_neg,high_neg
15,medium,270,6,9,0.3,pos,low_neg,catastrofic
16,medium,270,6,9,0.3,pos,high_neg,pos
17,medium,270,6,9,0.3,pos,high_neg,no
18,medium,270,6,9,0.3,pos,high_neg,low_neg
19,medium,270,6,9,0.3,pos,high_neg,high_neg
20,medium,270,6,9,0.3,pos,high_neg,catastrofic
21,medium,270,6,9,0.3,pos,catastrofic,pos
22,medium,270,6,9,0.3,pos,catastrofic,no
23,medium,270,6,9,0.3,pos,catastrofic,low_neg
24,medium,270,6,9,0.3,pos,catastrofic,high_neg
25,medium,270,6,9,0.3,pos,catastrofic,catastrofic
26,medium,270,6,9,0.3,no,pos,pos
27,medium,270,6,9,0.3,no,pos,no
28,medium,270,6,9,0.3,no,pos,low_neg
29,medium,270,6,9,0.3,no,pos,high_neg
30,medium,270,6,9,0.3,no,pos,catastrofic
31,medium,270,6,9,0.3,no,no,pos
32,medium,270,6,9,0.3,no,no,no
33,medium,270,6,9,0.3,no,no,low_neg
34,medium,270,6,9,0.3,no,no,high_neg
35,medium,270,6,9,0.3,no,no,catastrofic
36,medium,270,6,9,0.3,no,low_neg,pos
37,medium,270,6,9,0.3,no,low_neg,no
38,medium,270,6,9,0.3,no,low_neg,low_neg
39,medium,270,6,9,0.3,no,low_neg,high_neg
40,medium,270,6,9,0.3,no,low_neg,catastrofic
41,medium,270,6,9,0.3,no,high_neg,pos
42,medium,270,6,9,0.3,no,high_neg,no
43,medium,270,6,9,0.3,no,high_neg,low_neg
44,medium,270,6,9,0.3,no,high_neg,high_neg
45,medium,270,6,9,0.3,no,high_neg,catastrofic
46,medium,270,6,9,0.3,no,catastrofic,pos
47,medium,270,6,9,0.3,no,catastrofic,no
48,medium,270,6,9,0.3,no,catastrofic,low_neg
49,medium,270,6,9,0.3,no,catastrofic,high_neg
50,medium,270,6,9,0.3,no,catastrofic,catastrofic
51,medium,270,6,9,0.3,low_neg,pos,pos
52,medium,270,6,9,0.3,low_neg,pos,no
53,medium,270,6,9,0.3,low_neg,pos,low_neg
54,medium,270,6,9,0.3,low_neg,pos,high_neg
55,medium,270,6,9,0.3,low_neg,pos,catastrofic
56,medium,270,6,9,0.3,low_neg,no,pos
57,medium,270,6,9,0.3,low_neg,no,no
58,medium,270,6,9,0.3,low_neg,no,low_neg
59,medium,270,6,9,0.3,low_neg,no,high_neg
60,medium,270,6,9,0.3,low_neg,no,catastrofic
61,medium,270,6,9,0.3,low_neg,low_neg,pos
62,medium,270,6,9,0.3,low_neg,low_neg,no
63,medium,270,6,9,0.3,low_neg,low_neg,low_neg
64,medium,270,6,9,0.3,low_neg,low_neg,high_neg
65,medium,270,6,9,0.3,low_neg,low_neg,catastrofic
66,medium,270,6,9,0.3,low_neg,high_neg,pos
67,medium,270,6,9,0.3,low_neg,high_neg,no
68,medium,270,6,9,0.3,low_neg,high_neg,low_neg
69,medium,270,6,9,0.3,low_neg,high_neg,high_neg
70,medium,270,6,9,0.3,low_neg,high_neg,catastrofic
71,medium,270,6,9,0.3,low_neg,catastrofic,pos
72,medium,270,6,9,0.3,low_neg,catastrofic,no
73,medium,270,6,9,0.3,low_neg,catastrofic,low_neg
74,medium,270,6,9,0.3,low_neg,catastrofic,high_neg
75,medium,270,6,9,0.3,low_neg,catastrofic,catastrofic
76,medium,270,6,9,0.3,high_neg,pos,pos
77,medium,270,6,9,0.3,high_neg,pos,no
78,medium,270,6,9,0.3,high_neg,pos,low_neg
79,medium,270,6,9,0.3,high_neg,pos,high_neg
80,medium,270,6,9,0.3,high_neg,pos,catastrofic
81,medium,270,6,9,0.3,high_neg,no,pos
82,medium,270,6,9,0.3,high_neg,no,no
83,medium,270,6,9,0.3,high_neg,no,low_neg
84,medium,270,6,9,0.3,high_neg,no,high_neg
85,medium,270,6,9,0.3,high_neg,no,catastrofic
86,medium,270,6,9,0.3,high_neg,low_neg,pos
87,medium,270,6,9,0.3,high_neg,low_neg,no
88,medium,270,6,9,0.3,high_neg,low_neg,low_neg
89,medium,270,6,9,0.3,high_neg,low_neg,high_neg
90,medium,270,6,9,0.3,high_neg,low_neg,catastrofic
91,medium,270,6,9,0.3,high_neg,high_neg,pos
92,medium,270,6,9,0.3,high_neg,high_neg,no
93,medium,270,6,9,0.3,high_neg,high_neg,low_neg
94,medium,270,6,9,0.3,high_neg,high_neg,high_neg
95,medium,270,6,9,0.3,high_neg,high_neg,catastrofic
96,medium,270,6,9,0.3,high_neg,catastrofic,pos
97,medium,270,6,9,0.3,high_neg,catastrofic,no
98,medium,270,6,9,0.3,high_neg,catastrofic,low_neg
99,medium,270,6,9,0.3,high_neg,catastrofic,high_neg
100,medium,270,6,9,0.3,high_neg,catastrofic,catastrofic
101,medium,270,6,9,0.3,catastrofic,pos,pos
102,medium,270,6,9,0.3,catastrofic,pos,no
103,medium,270,6,9,0.3,catastrofic,pos,low_neg
104,medium,270,6,9,0.3,catastrofic,pos,high_neg
